epoch,loss,val_loss
1,0.09416019171476364,0.02867935597896576
2,0.0248456709086895,0.01979243941605091
3,0.017196673899888992,0.01169134397059679
4,0.012473701499402523,0.008236546069383621
5,0.011946069076657295,0.009557739831507206
6,0.011499984189867973,0.0070801302790641785
7,0.011851459741592407,0.007302259095013142
8,0.012494774535298347,0.006633220240473747
9,0.011171361431479454,0.007042346056550741
10,0.011639448814094067,0.006694006733596325
11,0.009892864152789116,0.0067182015627622604
12,0.011737413704395294,0.0067678894847631454
13,0.010507595725357533,0.007074402179569006
14,0.010393217206001282,0.006687347311526537
15,0.011342795565724373,0.007439076900482178
16,0.012532832100987434,0.006746665108948946
17,0.011649069376289845,0.007584013976156712
18,0.012571966275572777,0.006743235047906637
19,0.011634335853159428,0.006645037326961756
20,0.01016836054623127,0.006967607885599136
21,0.010043333284556866,0.006651348900049925
22,0.010877537541091442,0.006514220964163542
23,0.011171550489962101,0.007901416160166264
24,0.01087303925305605,0.007164229638874531
25,0.010553072206676006,0.007082839030772448
26,0.01125654112547636,0.006758073344826698
27,0.011484508402645588,0.00670174416154623
28,0.01098565012216568,0.006946484558284283
29,0.011021718382835388,0.007129117380827665
30,0.010970363393425941,0.006695818621665239
31,0.010402639396488667,0.0065320455469191074
32,0.010043115355074406,0.0077009620144963264
33,0.010293661616742611,0.007426660507917404
34,0.011142277158796787,0.007511035073548555
35,0.010622060857713223,0.006752158980816603
36,0.010469062253832817,0.0067069074138998985
37,0.010967457666993141,0.006414980627596378
38,0.010206658393144608,0.007963789626955986
39,0.010167131200432777,0.006460169330239296
40,0.011910784989595413,0.007492319215089083
41,0.009888967499136925,0.006527131423354149
42,0.010943830944597721,0.008079173974692822
43,0.010267096571624279,0.0065155839547514915
44,0.01026744395494461,0.007211967371404171
45,0.010255345143377781,0.006501436699181795
46,0.009982038289308548,0.006349057424813509
47,0.009958866983652115,0.006530032493174076
48,0.010302954353392124,0.006473298650234938
49,0.010976755991578102,0.006856420077383518
50,0.009438135661184788,0.007025891914963722
51,0.009691115468740463,0.006279852706938982
52,0.01075325720012188,0.006313088815659285
53,0.010182742029428482,0.006384879816323519
54,0.010264839977025986,0.00698584271594882
55,0.010768423788249493,0.006422330625355244
56,0.009961944073438644,0.00646224757656455
57,0.009797406382858753,0.006475723814219236
58,0.010220418684184551,0.006506246980279684
59,0.010153675451874733,0.006962050683796406
60,0.010466701351106167,0.008913741447031498
