optimizer,dropout_rate,units_per_layer,batch_size,epochs,num_layers,activation,loss
adam,0.2,[10],16,20,5,relu,0.15911933779716492
adam,0.2,[10],16,20,5,sigmoid,0.7810068130493164
adam,0.2,[10],16,20,7,relu,0.2367076724767685
adam,0.2,[10],16,20,7,sigmoid,0.3007947504520416
adam,0.2,[10],32,20,5,relu,0.16743645071983337
adam,0.2,[10],32,20,5,sigmoid,0.07943160831928253
adam,0.2,[10],32,20,7,relu,0.19961857795715332
adam,0.2,[10],32,20,7,sigmoid,0.9527831673622131
adam,0.2,[50],16,20,5,relu,0.23250916600227356
adam,0.2,[50],16,20,5,sigmoid,0.16362203657627106
adam,0.2,[50],16,20,7,relu,0.20950135588645935
adam,0.2,[50],16,20,7,sigmoid,0.24443788826465607
adam,0.2,[50],32,20,5,relu,0.24270258843898773
adam,0.2,[50],32,20,5,sigmoid,0.3065999150276184
adam,0.2,[50],32,20,7,relu,0.2120087593793869
adam,0.2,[50],32,20,7,sigmoid,0.1496860682964325
adam,0.3,[10],16,20,5,relu,0.2640676498413086
adam,0.3,[10],16,20,5,sigmoid,0.13480685651302338
adam,0.3,[10],16,20,7,relu,0.16566389799118042
adam,0.3,[10],16,20,7,sigmoid,0.14297936856746674
adam,0.3,[10],32,20,5,relu,0.4004068076610565
adam,0.3,[10],32,20,5,sigmoid,0.5806636810302734
adam,0.3,[10],32,20,7,relu,0.228303000330925
adam,0.3,[10],32,20,7,sigmoid,0.1590181291103363
adam,0.3,[50],16,20,5,relu,0.21410584449768066
adam,0.3,[50],16,20,5,sigmoid,0.21811074018478394
adam,0.3,[50],16,20,7,relu,0.26697179675102234
adam,0.3,[50],16,20,7,sigmoid,0.1619866043329239
adam,0.3,[50],32,20,5,relu,0.23287346959114075
adam,0.3,[50],32,20,5,sigmoid,0.15539763867855072
adam,0.3,[50],32,20,7,relu,0.19117310643196106
adam,0.3,[50],32,20,7,sigmoid,0.15519391000270844
rmsprop,0.2,[10],16,20,5,relu,0.1416914165019989
rmsprop,0.2,[10],16,20,5,sigmoid,0.15184088051319122
rmsprop,0.2,[10],16,20,7,relu,0.2165130376815796
rmsprop,0.2,[10],16,20,7,sigmoid,0.14639301598072052
rmsprop,0.2,[10],32,20,5,relu,0.2492261677980423
rmsprop,0.2,[10],32,20,5,sigmoid,0.11391357332468033
rmsprop,0.2,[10],32,20,7,relu,0.23855212330818176
rmsprop,0.2,[10],32,20,7,sigmoid,0.1284940540790558
rmsprop,0.2,[50],16,20,5,relu,0.2168254405260086
rmsprop,0.2,[50],16,20,5,sigmoid,0.13697363436222076
rmsprop,0.2,[50],16,20,7,relu,0.20814724266529083
rmsprop,0.2,[50],16,20,7,sigmoid,0.17967011034488678
rmsprop,0.2,[50],32,20,5,relu,0.19028879702091217
rmsprop,0.2,[50],32,20,5,sigmoid,0.1621241271495819
rmsprop,0.2,[50],32,20,7,relu,0.193961963057518
rmsprop,0.2,[50],32,20,7,sigmoid,0.19021975994110107
rmsprop,0.3,[10],16,20,5,relu,0.22758841514587402
rmsprop,0.3,[10],16,20,5,sigmoid,0.508763313293457
rmsprop,0.3,[10],16,20,7,relu,0.2744207978248596
rmsprop,0.3,[10],16,20,7,sigmoid,0.290950208902359
rmsprop,0.3,[10],32,20,5,relu,0.17619909346103668
rmsprop,0.3,[10],32,20,5,sigmoid,0.5446888208389282
rmsprop,0.3,[10],32,20,7,relu,0.22070235013961792
rmsprop,0.3,[10],32,20,7,sigmoid,0.10985586047172546
rmsprop,0.3,[50],16,20,5,relu,0.20902907848358154
rmsprop,0.3,[50],16,20,5,sigmoid,0.14333976805210114
rmsprop,0.3,[50],16,20,7,relu,0.23428508639335632
rmsprop,0.3,[50],16,20,7,sigmoid,0.20916320383548737
rmsprop,0.3,[50],32,20,5,relu,0.187504380941391
rmsprop,0.3,[50],32,20,5,sigmoid,0.16139625012874603
rmsprop,0.3,[50],32,20,7,relu,0.1937982738018036
rmsprop,0.3,[50],32,20,7,sigmoid,0.1528761386871338
