Epoch,Loss,Validation Loss
1,0.06416895240545273,0.013382400386035442
2,0.013706876896321774,0.010400805622339249
3,0.010936805047094822,0.007427175063639879
4,0.012690405361354351,0.006853228434920311
5,0.0106472447514534,0.009001333266496658
6,0.009368985891342163,0.006795959547162056
7,0.011427043937146664,0.008382830768823624
8,0.010468866676092148,0.007567520719021559
9,0.010139760561287403,0.006387489382177591
10,0.010873953811824322,0.007465522736310959
11,0.010715346783399582,0.0061669000424444675
12,0.010869639925658703,0.006110789719969034
13,0.009644613601267338,0.006500482093542814
14,0.009354328736662865,0.006575262639671564
15,0.010120532475411892,0.005865398328751326
16,0.009654111228883266,0.005887595005333424
17,0.008722580969333649,0.006314529571682215
18,0.00919137429445982,0.005739992950111628
19,0.009910651482641697,0.0060385833494365215
20,0.010026170872151852,0.005770957563072443
21,0.010483920574188232,0.005786082241684198
22,0.009618235751986504,0.006823533680289984
23,0.009748349897563457,0.005732880439609289
24,0.009928078390657902,0.007786302361637354
25,0.009883788414299488,0.006793869659304619
26,0.00986502692103386,0.010877745226025581
27,0.00997453834861517,0.0056428550742566586
28,0.009829233400523663,0.0058044022880494595
29,0.010065957903862,0.006523649673908949
30,0.008145629428327084,0.005873716901987791
31,0.00865114014595747,0.005727231968194246
32,0.008721030317246914,0.005635476671159267
33,0.008935585618019104,0.006899539846926928
34,0.008495837450027466,0.006388964131474495
35,0.009614656679332256,0.006384541746228933
36,0.009320514276623726,0.005783404689282179
37,0.008687365800142288,0.005772489123046398
38,0.009340525604784489,0.0059898323379457
39,0.008494695648550987,0.006174327805638313
40,0.009307364001870155,0.005569142755120993
41,0.008679818361997604,0.005678619258105755
42,0.00802852213382721,0.006424459163099527
43,0.008180965669453144,0.005656706169247627
44,0.008793879300355911,0.0060240766033530235
45,0.009342367760837078,0.005577243398874998
46,0.009061872959136963,0.005934491753578186
47,0.008788484148681164,0.005905735772103071
48,0.010842736810445786,0.0060898014344275
49,0.008912608027458191,0.005807899869978428
50,0.009298058226704597,0.006164792459458113
51,0.009114091284573078,0.005592239089310169
52,0.008215628564357758,0.006289374083280563
53,0.009687702171504498,0.00634233932942152
54,0.008288600482046604,0.005620947107672691
55,0.00872969999909401,0.005753349978476763
56,0.007835476659238338,0.006253848783671856
57,0.00890219584107399,0.0059747775085270405
58,0.008329461328685284,0.005886248778551817
59,0.008353735320270061,0.0055386158637702465
60,0.008418584242463112,0.005738977808505297
61,0.007718885783106089,0.0057525248266756535
62,0.00790318101644516,0.005551453679800034
63,0.008863738738000393,0.005971768405288458
64,0.008580217137932777,0.005660624243319035
65,0.008523478172719479,0.006687657907605171
66,0.008921845816075802,0.005881516728550196
67,0.007619204465299845,0.005809650756418705
68,0.0077851009555161,0.005820075981318951
69,0.008714811876416206,0.005558430682867765
70,0.008583509363234043,0.0057772803120315075
71,0.00883262138813734,0.007470205891877413
72,0.00882001407444477,0.005737436003983021
73,0.007927966304123402,0.005741116125136614
74,0.008110509254038334,0.006246458739042282
75,0.007650614716112614,0.005887153092771769
76,0.008589856326580048,0.0068799396976828575
77,0.007772605866193771,0.006156463176012039
78,0.008310421369969845,0.005647045560181141
79,0.008111990988254547,0.006182731594890356
80,0.007183980196714401,0.006061276886612177
81,0.008954007178544998,0.005790774244815111
82,0.00832618772983551,0.005766457412391901
83,0.008783810772001743,0.0060508218593895435
84,0.008228891529142857,0.005803633481264114
85,0.009187973104417324,0.006321744993329048
86,0.007873617112636566,0.006206037010997534
87,0.007884450256824493,0.006185024045407772
88,0.007963092066347599,0.006835105363279581
89,0.008421622216701508,0.005936693865805864
90,0.008501965552568436,0.0059637269005179405
91,0.007874513044953346,0.0061067380011081696
92,0.007846314460039139,0.0056228842586278915
93,0.007732115685939789,0.005900240503251553
94,0.007589645683765411,0.006720548029989004
95,0.008122389204800129,0.005983003415167332
96,0.007911927998065948,0.006006393115967512
97,0.0075914585031569,0.006197480950504541
98,0.0070496369153261185,0.006668436340987682
99,0.008373904041945934,0.00661625387147069
100,0.008020388893783092,0.006015143357217312
